id,post_id,user_id
1,41,1
2,11,22
3,1,38
4,27,28
5,90,5
6,13,18
7,23,20
8,11,18
9,82,3
10,27,4
11,12,2
12,27,16
13,79,10
14,56,4
15,9,42
16,62,6
17,89,42
18,33,20
19,23,16
20,59,5
21,77,15
22,38,49
23,22,42
24,49,14
25,35,19
26,22,25
27,28,35
28,87,49
29,40,21
30,68,32
31,98,4
32,15,26
33,24,1
34,81,17
35,54,8
36,53,48
37,62,15
38,75,36
39,62,5
40,91,34
41,44,36
42,37,44
43,9,4
44,27,37
45,35,22
46,40,6
47,95,26
48,3,47
49,20,47
50,69,6
51,63,38
52,5,35
53,34,18
54,48,35
55,62,41
56,59,3
57,13,33
58,3,37
59,95,33
60,84,4
61,58,44
62,86,41
63,33,40
64,9,16
65,81,24
66,52,39
67,75,27
68,30,34
69,74,7
70,7,17
71,38,32
72,47,41
73,81,27
74,53,34
75,91,27
76,32,6
77,26,47
78,48,14
79,50,39
80,10,10
81,88,39
82,62,31
83,23,25
84,75,11
85,68,50
86,92,45
87,2,11
88,72,7
89,93,36
90,78,37
91,69,50
92,62,7
93,72,50
94,53,24
95,53,40
96,11,39
97,33,38
98,22,48
99,64,36
100,94,2
101,8,3
102,73,17
103,7,15
104,6,14
105,25,2
106,52,12
107,49,43
108,49,46
109,57,41
110,9,10
111,38,29
112,15,43
113,41,47
114,86,38
115,49,31
116,90,46
117,22,20
118,48,15
119,60,47
120,91,44
121,87,13
122,77,49
123,13,38
124,21,32
125,25,20
126,16,17
127,28,13
128,47,40
129,23,21
130,9,18
131,32,16
132,62,26
133,64,31
134,65,20
135,68,15
136,68,28
137,50,43
138,44,34
139,92,49
140,65,27
141,67,5
142,96,31
143,26,45
144,56,3
145,85,48
146,37,22
147,66,32
148,95,22
149,2,49
150,11,41
151,71,16
152,58,49
153,61,38
154,24,4
155,28,21
156,15,41
157,59,33
158,95,3
159,39,40
160,67,17
161,6,4
162,17,13
163,23,43
164,76,6
165,67,37
166,3,9
167,50,19
168,78,8
169,58,25
170,85,25
171,88,2
172,2,4
173,1,6
174,24,7
175,86,11
176,87,23
177,40,33
178,97,5
179,43,42
180,60,2
181,3,35
182,74,20
183,75,15
184,97,38
185,11,6
186,22,15
187,1,21
188,32,1
189,29,36
190,54,18
191,95,32
192,53,9
193,24,36
194,49,44
195,12,43
196,47,19
197,74,9
198,77,8
199,45,7
200,38,3
201,19,18
202,92,34
203,23,3
204,26,46
205,25,21
206,15,19
207,82,32
208,72,11
209,2,13
210,28,14
211,33,7
212,88,18
213,5,38
214,27,39
215,70,5
216,2,16
217,1,39
218,90,4
219,52,1
220,30,15
221,59,21
222,11,9
223,94,43
224,28,46
225,85,2
226,59,23
227,42,41
228,51,13
229,60,7
230,65,1
231,44,7
232,29,35
233,27,46
234,41,12
235,85,11
236,83,37
237,55,9
238,63,30
239,61,10
240,97,18
241,66,50
242,23,19
243,8,25
244,1,22
245,92,35
246,83,21
247,93,30
248,58,41
249,6,30
250,30,16
251,13,20
252,2,19
253,25,10
254,97,11
255,22,13
256,81,31
257,36,12
258,4,40
259,47,26
260,22,16
261,72,9
262,7,8
263,10,3
264,92,25
265,37,39
266,47,33
267,37,20
268,44,11
269,21,14
270,52,2
271,37,29
272,12,16
273,74,6
274,21,43
275,95,14
276,21,25
277,17,46
278,39,12
279,80,40
280,87,8
281,8,9
282,95,13
283,68,26
284,88,9
285,86,24
286,43,17
287,9,1
288,10,41
289,68,13
290,15,20
291,50,36
292,1,11
293,91,38
294,48,25
295,82,8
296,49,9
297,50,33
298,10,2
299,31,39
300,2,9
301,97,19
302,51,35
303,2,37
304,18,8
305,58,24
306,61,19
307,47,44
308,19,24
309,24,47
310,48,28
311,28,18
312,69,28
313,99,44
314,15,2
315,15,22
316,41,9
317,21,4
318,2,17
319,9,33
320,27,11
321,19,7
322,86,19
323,16,23
324,29,2
325,73,12
326,99,36
327,35,24
328,65,19
329,34,27
330,16,28
331,39,35
332,33,33
333,20,42
334,2,43
335,10,30
336,76,17
337,88,8
338,24,17
339,46,12
340,2,32
341,93,4
342,61,7
343,38,12
344,74,21
345,84,11
346,21,45
347,25,35
348,50,2
349,40,16
350,82,12
351,72,38
352,70,44
353,28,42
354,69,32
355,65,18
356,86,18
357,64,34
358,37,1
359,36,2
360,60,9
361,15,14
362,87,5
363,68,44
364,18,42
365,16,12
366,58,18
